GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2014 Inflation-adjusted dollars)
0500000US11001,11001,"District of Columbia, District of Columbia",69235,1127
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",170338,19870
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",152256,20082
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",135045,37417
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",225179,68500
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",100109,14487
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",113688,13958
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",155031,27778
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",78040,15034
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",71032,6423
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",135119,41367
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",91037,12951
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",231042,26197
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",191607,26550
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",157621,12429
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",90221,27388
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",123378,8646
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",101628,16525
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",119234,18821
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",93795,12295
