GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2011 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2011 inflation-adjusted dollars)
0500000US11001,11001,"District of Columbia, District of Columbia",61835,831
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",136842,25451
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",135893,24431
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",99063,20378
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",182578,72799
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",89191,9588
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",104375,20401
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",113922,17880
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",81039,7196
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",66352,8722
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",118569,14494
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",92384,25038
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",219583,26494
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",179167,24248
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",147500,12366
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",89119,20346
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",128909,30221
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",109405,19581
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",79098,22574
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",78140,8612
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",126576,39142
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",87826,19799
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",179859,22628
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",135403,19676
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",106154,15114
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",38000,7273
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",38007,8203
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",53750,18522
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",64196,32833
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",47878,6527
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",56808,14969
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",43769,5597
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",45046,9456
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",60882,11627
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",44096,8366
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",54167,28260
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",54022,20090
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",63342,16443
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",32067,23684
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",42604,9922
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",126944,32293
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",58659,13306
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",99524,17392
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",46393,5159
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",45625,10853
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",60861,6895
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",60459,10274
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",74637,17394
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",62361,15489
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",86101,10089
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",97216,21685
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",46365,7578
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",63510,31661
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",47656,7553
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",60324,8078
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",79120,11258
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",76107,10241
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",98425,7884
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",89189,15718
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",105341,18850
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",89353,15661
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",81326,11023
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",64959,15180
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",101853,14610
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",78257,22439
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",19572,15101
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",70490,15799
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",82866,6436
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",57943,20656
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",50948,18505
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",89267,19831
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",135313,44562
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",81744,18780
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",72340,11186
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",93006,7837
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",94489,10374
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",64028,13348
