OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent
22,4100,1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",2658,143586,852300,0.308,0.9321,0.768,0.49,0.044
23,4201,1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",3724,114205,647900,0.517,0.8819,0.896,0.235,0.029
24,4202,1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",2538,105978,479600,0.422,0.9217,0.852,0.265,0.08
25,4300,1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",4033,95000,681200,0.394,0.7977,0.841,0.257,0.033
26,4400,1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",5385,166071,694400,0.315,0.8791,0.884,0.28,0.034
58,4600,1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",2863,98698,629400,0.161,0.5889,0.778,0.175,0.072
59,4701,1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",4888,40378,493000,0.296,0.4737,0.639,0.205,0.052
60,4702,1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",3144,101891,473100,0.339,0.7378,0.777,0.232,0.042
61,4801,1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",2725,109601,635400,0.349,0.6686,0.826,0.263,0.038
62,4802,1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",3528,67409,590800,0.479,0.55,0.773,0.166,0.045
63,4901,1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",2837,103500,737900,0.386,0.6626,0.833,0.251,0.029
64,4902,1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",3147,87083,515900,0.409,0.6559,0.813,0.254,0.016
65,5001,1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",2083,138295,807900,0.305,0.8009,0.871,0.345,0.054
66,5002,1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",5986,87969,455000,0.503,0.7043,0.797,0.291,0.016
67,5201,1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",6263,114271,548100,0.426,0.8243,0.922,0.299,0.041
68,5301,1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",4915,90402,446100,0.5,0.9365,0.834,0.261,0.043
69,5500,1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",6864,79306,741000,0.448,0.8994,0.706,0.333,0.038
70,5600,1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",6442,83365,478900,0.578,0.87,0.685,0.219,0.029
71,5800,1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",3039,137259,493000,0.426,0.8053,0.837,0.37,0.076
72,5900,1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",2682,101553,444700,0.481,0.7799,0.745,0.132,0.017
73,6202,1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",72,,,,,,,
74,6400,1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",2488,19459,478800,0.39,0.267,0.512,0.16,0.02
7,6500,1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",2604,125536,904000,0.194,0.8986,0.827,0.354,0.043
75,6600,1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",2036,134911,989500,0.225,0.8804,0.735,0.475,0.06
76,6700,1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",4375,140054,825200,0.168,0.8861,0.787,0.454,0.048
77,6801,1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",2350,89327,596700,0.154,0.6355,0.792,0.294,0.05
78,6802,1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",2509,156042,678000,0.085,0.7763,0.844,0.434,0.058
79,6804,1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",2733,156583,822400,,0.0777,0.047,0.16,0.044
80,6900,1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",2379,144063,818100,0.101,0.8064,0.822,0.467,0.077
81,7000,1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",2923,124583,829400,0.128,0.8522,0.843,0.373,0.058
82,7100,1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",3425,72109,548800,0.234,0.5345,0.57,0.235,0.025
47,7200,1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",5154,109605,516700,0.256,0.817,0.88,0.271,0.053
48,7301,1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",4606,84009,,0.059,0.6039,0.823,0.691,0.313
49,7304,1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",3592,32428,266200,0.297,0.1207,0.503,0.2,0.05
