,OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent,Crime_count
134,42,9000,1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",3523,38088.0,429200.0,0.064,0.401,0.542,0.233,0.065,4.0
135,43,9102,1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",5254,44217.0,356300.0,0.264,0.324,0.617,0.134,0.05,20.0
136,44,9201,1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",2718,84844.0,669600.0,0.223,0.6943,0.752,0.237,0.025,3.0
137,45,9203,1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",2808,70156.0,543600.0,0.21600000000000003,0.4127,0.72,0.293,0.021,9.0
138,46,9204,1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",2918,26215.0,340200.0,0.521,0.1873,0.541,0.22399999999999998,0.077,8.0
139,158,9301,1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",3468,94495.0,580900.0,0.049,0.5855,0.715,0.396,0.091,11.0
140,115,9302,1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",1279,71375.0,544400.0,0.313,0.41,0.7140000000000001,0.413,0.044000000000000004,8.0
141,170,9400,1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",4917,97804.0,539800.0,0.055,0.4209,0.667,0.373,0.07400000000000001,11.0
142,171,9501,1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",7659,48395.0,365500.0,0.256,0.2856,0.5820000000000001,0.191,0.025,13.0
143,172,9503,1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",3144,104603.0,492800.0,0.006999999999999999,0.5546,0.585,0.45399999999999996,0.08199999999999999,3.0
144,173,9504,1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",3296,83690.0,442000.0,0.111,0.5055,0.617,0.302,0.053,8.0
145,174,9505,1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",2940,67112.0,437500.0,0.059000000000000004,0.3883,0.6609999999999999,0.375,0.085,7.0
146,175,9507,1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",1924,74375.0,331600.0,0.068,0.265,0.6809999999999999,0.259,0.055999999999999994,4.0
147,176,9508,1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",3691,56404.0,357400.0,0.11,0.3552,0.608,0.20800000000000002,0.08800000000000001,4.0
148,177,9509,1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",3314,64792.0,391400.0,0.086,0.3952,0.631,0.374,0.096,1.0
149,178,9601,1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",2567,29428.0,244100.0,0.24100000000000002,0.1778,0.5429999999999999,0.08800000000000001,0.039,21.0
150,179,9602,1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",3675,24138.0,311400.0,0.55,0.06,0.588,0.059000000000000004,0.025,11.0
