,OBJECTID,TRACT,GEO,GEOID2,GEO_display_label,Population,Income,Home_value,No_car_percent,Bachelor_or_higher,Employment_percent,Marital_percent,Veterans_percent,Crime_count
72,66,5002,1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",5986,87969.0,455000.0,0.503,0.7043,0.797,0.29100000000000004,0.016,3.0
73,67,5201,1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",6263,114271.0,548100.0,0.426,0.8243,0.922,0.299,0.040999999999999995,2.0
74,68,5301,1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",4915,90402.0,446100.0,0.5,0.9365,0.8340000000000001,0.261,0.043,2.0
75,69,5500,1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",6864,79306.0,741000.0,0.44799999999999995,0.8994,0.706,0.33299999999999996,0.038,4.0
76,70,5600,1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",6442,83365.0,478900.0,0.578,0.87,0.685,0.21899999999999997,0.028999999999999998,2.0
77,71,5800,1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",3039,137259.0,493000.0,0.426,0.8053,0.8370000000000001,0.37,0.076,6.0
78,72,5900,1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",2682,101553.0,444700.0,0.48100000000000004,0.7799,0.745,0.132,0.017,3.0
79,73,6202,1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",72,,,,,,,,1.0
80,74,6400,1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",2488,19459.0,478800.0,0.39,0.267,0.512,0.16,0.02,12.0
81,7,6500,1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",2604,125536.0,904000.0,0.19399999999999998,0.8986,0.8270000000000001,0.354,0.043,
82,75,6600,1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",2036,134911.0,989500.0,0.225,0.8804,0.735,0.475,0.06,4.0
83,76,6700,1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",4375,140054.0,825200.0,0.168,0.8861,0.787,0.45399999999999996,0.048,3.0
84,77,6801,1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",2350,89327.0,596700.0,0.154,0.6355,0.792,0.294,0.05,3.0
85,78,6802,1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",2509,156042.0,678000.0,0.085,0.7763,0.8440000000000001,0.434,0.057999999999999996,1.0
86,79,6804,1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",2733,156583.0,822400.0,,0.0777,0.047,0.16,0.044000000000000004,1.0
87,80,6900,1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",2379,144063.0,818100.0,0.10099999999999999,0.8064,0.8220000000000001,0.467,0.077,4.0
88,81,7000,1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",2923,124583.0,829400.0,0.128,0.8522,0.843,0.373,0.057999999999999996,5.0
89,82,7100,1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",3425,72109.0,548800.0,0.23399999999999999,0.5345,0.57,0.235,0.025,6.0
90,47,7200,1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",5154,109605.0,516700.0,0.256,0.8170000000000001,0.88,0.271,0.053,4.0
91,48,7301,1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",4606,84009.0,,0.059000000000000004,0.6039,0.823,0.691,0.313,
92,49,7304,1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",3592,32428.0,266200.0,0.297,0.1207,0.503,0.2,0.05,20.0
93,50,7401,1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",2262,14566.0,256700.0,0.522,0.0789,0.40700000000000003,0.064,0.027999999999999997,14.0
94,51,7403,1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",3187,25761.0,254500.0,0.298,0.0972,0.61,0.134,0.04,17.0
95,52,7404,1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",4307,42439.0,341700.0,0.24,0.1625,0.632,0.18100000000000002,0.035,29.0
96,53,7406,1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",3254,24688.0,261000.0,0.341,0.0792,0.499,0.127,0.046,38.0
97,54,7407,1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",3297,34410.0,266400.0,0.209,0.1901,0.633,0.095,0.035,8.0
98,55,7408,1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",3632,21728.0,321400.0,0.397,0.0675,0.392,0.109,0.042,13.0
99,56,7409,1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",4000,38107.0,248000.0,0.36,0.0786,0.619,0.11599999999999999,0.013999999999999999,11.0
