offense_text,LONGITUDE,LATITUDE
robbery,-76.97175968,38.86141094
robbery,-76.9813696,38.90320277
robbery,-77.03342653,38.96263627
assault w/dangerous weapon,-76.98246563,38.89996894
assault w/dangerous weapon,-76.9809993,38.86510626
homicide,-77.0152127,38.87884463
homicide,-76.98337157,38.9205081
assault w/dangerous weapon,-76.93789844,38.89905292
robbery,-77.0281408,38.95967394
robbery,-77.02363711,38.94781105
assault w/dangerous weapon,-76.97735689,38.8691684
assault w/dangerous weapon,-76.98397301,38.86117003
assault w/dangerous weapon,-76.92714018,38.87903008
robbery,-76.96559853,38.85496826
robbery,-76.97207732,38.87411287
robbery,-77.00768173,38.82970439
robbery,-76.95655721,38.92641967
robbery,-76.97234404,38.8995526
assault w/dangerous weapon,-77.00054224,38.95420931
assault w/dangerous weapon,-76.9778126,38.84887251
robbery,-76.93138469,38.88749153
assault w/dangerous weapon,-76.97259129,38.85612319
assault w/dangerous weapon,-76.97965565,38.84936831
assault w/dangerous weapon,-76.9327164,38.90536491
assault w/dangerous weapon,-77.00057583,38.82802906
assault w/dangerous weapon,-76.98774524,38.83458658
robbery,-76.93460829,38.90414084
robbery,-77.03122421,38.93972884
robbery,-76.96675304,38.84977073
robbery,-77.05946355,38.92900701
assault w/dangerous weapon,-76.98262764,38.85007145
robbery,-77.01065992,38.87553905
robbery,-76.98294124,38.88759152
robbery,-77.03078937,38.92108175
assault w/dangerous weapon,-76.95553031,38.89025078
assault w/dangerous weapon,-77.01521231,38.8769889
assault w/dangerous weapon,-77.00208452,38.82869567
assault w/dangerous weapon,-77.0279571,38.96197109
assault w/dangerous weapon,-76.92668195,38.88755173
robbery,-77.00195825,38.84375781
assault w/dangerous weapon,-77.02756326,38.89830947
assault w/dangerous weapon,-76.99819149,38.84410914
robbery,-77.03079853,38.91556866
assault w/dangerous weapon,-76.99319044,38.86225194
robbery,-76.95277887,38.88507889
robbery,-76.98155371,38.90457207
homicide,-76.92923379,38.89457984
robbery,-76.91845573,38.89459984
homicide,-77.02485097,38.95522461
robbery,-77.001935,38.83610063
homicide,-77.01086058,38.90671701
robbery,-76.99002171,38.86339578
robbery,-76.97341234,38.9407209
robbery,-77.00204055,38.90217729
homicide,-77.00971949,38.82438023
robbery,-77.0334353,38.95674486
robbery,-76.95838196,38.88240553
assault w/dangerous weapon,-76.98639444,38.91204065
assault w/dangerous weapon,-76.97369059,38.90561553
assault w/dangerous weapon,-77.02706519,38.8920758
robbery,-76.9426173,38.89421784
robbery,-76.93060817,38.89187815
assault w/dangerous weapon,-76.92371708,38.90080115
robbery,-77.02963362,38.91483027
robbery,-76.93919932,38.90115255
assault w/dangerous weapon,-76.98204769,38.86575503
homicide,-76.98231603,38.85239558
assault w/dangerous weapon,-76.97417513,38.90475084
robbery,-77.04602401,38.92322974
robbery,-76.96672913,38.87636357
robbery,-76.97899472,38.90310328
homicide,-76.98843313,38.85417101
homicide,-76.98637177,38.90995972
robbery,-76.99387183,38.84374866
robbery,-77.01064814,38.87379142
robbery,-76.97193949,38.87294175
robbery,-77.00905097,38.91058174
robbery,-77.06399762,38.90515055
assault w/dangerous weapon,-77.00654954,38.91663551
robbery,-76.91504618,38.89246242
robbery,-77.01774402,38.9549016
assault w/dangerous weapon,-77.03111509,38.92757667
robbery,-76.99731392,38.90019544
sex abuse,-77.0080969,38.83466802
robbery,-76.96458639,38.85155377
assault w/dangerous weapon,-76.98817157,38.90304151
assault w/dangerous weapon,-76.9708327,38.93057694
robbery,-77.01938439,38.9202194
sex abuse,-77.04950465,38.90373427
robbery,-77.02467098,38.93519022
assault w/dangerous weapon,-77.02115976,38.9574774
assault w/dangerous weapon,-77.00907308,38.90311382
homicide,-76.9292266,38.90183157
homicide,-76.99547204,38.85874777
assault w/dangerous weapon,-77.05141816,38.90335509
robbery,-77.03554622,38.90963982
assault w/dangerous weapon,-76.99498662,38.88026884
robbery,-76.92267343,38.89580082
assault w/dangerous weapon,-76.92532643,38.88319082
robbery,-76.9957832,38.85744156
robbery,-77.02756671,38.90723675
assault w/dangerous weapon,-76.98890888,38.90641071
robbery,-76.99592184,38.85067624
robbery,-76.99547204,38.85874777
robbery,-76.92232296,38.90006154
robbery,-76.91228981,38.89362247
robbery,-76.97144454,38.8715183
robbery,-77.08031717,38.95140718
assault w/dangerous weapon,-76.9326284,38.876475
robbery,-76.94188433,38.90251418
homicide,-76.98781473,38.8323615
robbery,-77.02046623,38.9128414
assault w/dangerous weapon,-76.98155719,38.84653097
homicide,-76.98653624,38.83273071
robbery,-77.02090723,38.88323083
assault w/dangerous weapon,-77.00377844,38.84708188
robbery,-76.9714136,38.86245583
robbery,-77.04169931,38.90313376
assault w/dangerous weapon,-76.93600813,38.91159152
robbery,-76.97369116,38.90408412
robbery,-76.98377592,38.866521
robbery,-76.95880797,38.92306939
assault w/dangerous weapon,-77.02396244,38.95472033
robbery,-76.96062873,38.88363145
robbery,-76.98831291,38.88472751
robbery,-76.9813457,38.90642776
assault w/dangerous weapon,-76.98399684,38.90903156
robbery,-77.04006962,38.91628651
robbery,-77.0169607,38.91149071
assault w/dangerous weapon,-76.92983228,38.88380618
assault w/dangerous weapon,-76.92923379,38.89457984
robbery,-77.01329504,38.91627461
robbery,-76.99204051,38.84181173
homicide,-76.99961998,38.82334466
