GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2013 inflation-adjusted dollars)
0500000US11001,11001,"District of Columbia, District of Columbia",65830,1006
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",146161,29608
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",149375,22147
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",111289,26892
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",233250,44504
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",95556,17527
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",115216,14465
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",125921,14240
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",70515,17431
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",70033,6360
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",119641,12728
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",113523,24841
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",201250,31442
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",185500,23337
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",156786,8893
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",84063,22209
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",129118,17075
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",105262,17176
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",109567,21715
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",83583,13615
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",120417,29809
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",105568,33762
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",204333,21103
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",140688,20762
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",98657,12286
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",44335,6397
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",42476,6071
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",78662,8362
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",74625,25615
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",49006,5546
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",59840,12318
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",45987,13646
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",50142,15208
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",68170,15078
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",41875,12432
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",66509,20418
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",60263,16326
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",65227,23168
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",30694,16441
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",54018,25179
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",126597,18991
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",65633,11931
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",100000,20109
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",49232,4386
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",46421,6901
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",82120,9192
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",63309,9180
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",63750,12173
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",67988,12093
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",93903,11767
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",87393,33863
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",70263,31252
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",66830,9064
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",75505,25335
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",58663,11179
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",93461,3621
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",80750,11524
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",102757,9646
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",89675,9521
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",114602,19820
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",89851,14579
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",90707,18257
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",71021,11832
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",119638,10548
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",80985,32401
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",24962,17675
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",81875,21372
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",86629,12054
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",61875,28978
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",52824,12828
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",93203,17129
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",130173,14980
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",81316,6694
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",92255,19147
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",83393,18686
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",96793,15104
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",70793,15470
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",118194,19044
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",83977,10200
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",-,**
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",20321,4702
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",132794,19614
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",158286,28942
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",137143,10839
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",85114,14339
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",104239,13743
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",-,**
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",111667,28650
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",98281,22518
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",72941,15961
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",91458,7068
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",72629,12830
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",23867,9137
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",15393,4643
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",27652,3426
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",28347,4052
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",21484,8276
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",37586,7981
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",25058,6726
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",26862,5208
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",19559,15763
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",33512,10216
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",17372,3950
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",43256,8393
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",53701,9292
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",52764,4732
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",42222,7249
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",31737,5057
1400000US11001007707,11001007707,"Census Tract 77.07, District of Columbia, District of Columbia",49068,7934
1400000US11001007708,11001007708,"Census Tract 77.08, District of Columbia, District of Columbia",26761,6608
1400000US11001007709,11001007709,"Census Tract 77.09, District of Columbia, District of Columbia",33396,7866
1400000US11001007803,11001007803,"Census Tract 78.03, District of Columbia, District of Columbia",32750,18836
1400000US11001007804,11001007804,"Census Tract 78.04, District of Columbia, District of Columbia",36484,17429
1400000US11001007806,11001007806,"Census Tract 78.06, District of Columbia, District of Columbia",37755,9980
1400000US11001007807,11001007807,"Census Tract 78.07, District of Columbia, District of Columbia",28854,13628
1400000US11001007808,11001007808,"Census Tract 78.08, District of Columbia, District of Columbia",31037,18726
1400000US11001007809,11001007809,"Census Tract 78.09, District of Columbia, District of Columbia",34054,6178
1400000US11001007901,11001007901,"Census Tract 79.01, District of Columbia, District of Columbia",38155,10763
1400000US11001007903,11001007903,"Census Tract 79.03, District of Columbia, District of Columbia",42219,3826
1400000US11001008001,11001008001,"Census Tract 80.01, District of Columbia, District of Columbia",100969,19066
1400000US11001008002,11001008002,"Census Tract 80.02, District of Columbia, District of Columbia",108478,9386
1400000US11001008100,11001008100,"Census Tract 81, District of Columbia, District of Columbia",127179,10105
1400000US11001008200,11001008200,"Census Tract 82, District of Columbia, District of Columbia",92385,11351
1400000US11001008301,11001008301,"Census Tract 83.01, District of Columbia, District of Columbia",130536,39715
1400000US11001008302,11001008302,"Census Tract 83.02, District of Columbia, District of Columbia",116875,19327
1400000US11001008402,11001008402,"Census Tract 84.02, District of Columbia, District of Columbia",88516,25104
1400000US11001008410,11001008410,"Census Tract 84.10, District of Columbia, District of Columbia",102900,11024
1400000US11001008701,11001008701,"Census Tract 87.01, District of Columbia, District of Columbia",57212,8883
1400000US11001008702,11001008702,"Census Tract 87.02, District of Columbia, District of Columbia",54259,12253
1400000US11001008802,11001008802,"Census Tract 88.02, District of Columbia, District of Columbia",39613,8089
1400000US11001008803,11001008803,"Census Tract 88.03, District of Columbia, District of Columbia",18785,8223
1400000US11001008804,11001008804,"Census Tract 88.04, District of Columbia, District of Columbia",27441,5584
1400000US11001008903,11001008903,"Census Tract 89.03, District of Columbia, District of Columbia",34080,7928
1400000US11001008904,11001008904,"Census Tract 89.04, District of Columbia, District of Columbia",30295,11299
1400000US11001009000,11001009000,"Census Tract 90, District of Columbia, District of Columbia",31740,10182
1400000US11001009102,11001009102,"Census Tract 91.02, District of Columbia, District of Columbia",35685,13764
1400000US11001009201,11001009201,"Census Tract 92.01, District of Columbia, District of Columbia",50677,5432
1400000US11001009203,11001009203,"Census Tract 92.03, District of Columbia, District of Columbia",63073,17093
1400000US11001009204,11001009204,"Census Tract 92.04, District of Columbia, District of Columbia",24489,5981
1400000US11001009301,11001009301,"Census Tract 93.01, District of Columbia, District of Columbia",78415,15991
1400000US11001009302,11001009302,"Census Tract 93.02, District of Columbia, District of Columbia",58424,11543
1400000US11001009400,11001009400,"Census Tract 94, District of Columbia, District of Columbia",69701,9785
1400000US11001009501,11001009501,"Census Tract 95.01, District of Columbia, District of Columbia",45144,7727
1400000US11001009503,11001009503,"Census Tract 95.03, District of Columbia, District of Columbia",79000,6584
1400000US11001009504,11001009504,"Census Tract 95.04, District of Columbia, District of Columbia",61875,11979
1400000US11001009505,11001009505,"Census Tract 95.05, District of Columbia, District of Columbia",63661,14944
1400000US11001009507,11001009507,"Census Tract 95.07, District of Columbia, District of Columbia",53646,16626
1400000US11001009508,11001009508,"Census Tract 95.08, District of Columbia, District of Columbia",54500,6628
1400000US11001009509,11001009509,"Census Tract 95.09, District of Columbia, District of Columbia",62432,12152
1400000US11001009601,11001009601,"Census Tract 96.01, District of Columbia, District of Columbia",26620,13367
1400000US11001009602,11001009602,"Census Tract 96.02, District of Columbia, District of Columbia",21927,3508
1400000US11001009603,11001009603,"Census Tract 96.03, District of Columbia, District of Columbia",39268,7036
1400000US11001009604,11001009604,"Census Tract 96.04, District of Columbia, District of Columbia",48641,7873
1400000US11001009700,11001009700,"Census Tract 97, District of Columbia, District of Columbia",32595,7935
1400000US11001009801,11001009801,"Census Tract 98.01, District of Columbia, District of Columbia",27100,9366
1400000US11001009802,11001009802,"Census Tract 98.02, District of Columbia, District of Columbia",25086,5964
1400000US11001009803,11001009803,"Census Tract 98.03, District of Columbia, District of Columbia",19345,11607
1400000US11001009804,11001009804,"Census Tract 98.04, District of Columbia, District of Columbia",44356,9396
1400000US11001009807,11001009807,"Census Tract 98.07, District of Columbia, District of Columbia",35727,5507
1400000US11001009810,11001009810,"Census Tract 98.10, District of Columbia, District of Columbia",28239,7488
1400000US11001009811,11001009811,"Census Tract 98.11, District of Columbia, District of Columbia",25205,7230
1400000US11001009901,11001009901,"Census Tract 99.01, District of Columbia, District of Columbia",86500,10750
1400000US11001009902,11001009902,"Census Tract 99.02, District of Columbia, District of Columbia",42052,6052
1400000US11001009903,11001009903,"Census Tract 99.03, District of Columbia, District of Columbia",62219,12694
1400000US11001009904,11001009904,"Census Tract 99.04, District of Columbia, District of Columbia",35478,6578
1400000US11001009905,11001009905,"Census Tract 99.05, District of Columbia, District of Columbia",38310,4642
1400000US11001009906,11001009906,"Census Tract 99.06, District of Columbia, District of Columbia",42240,9775
1400000US11001009907,11001009907,"Census Tract 99.07, District of Columbia, District of Columbia",23607,5399
1400000US11001010100,11001010100,"Census Tract 101, District of Columbia, District of Columbia",70951,17969
1400000US11001010200,11001010200,"Census Tract 102, District of Columbia, District of Columbia",84053,13193
1400000US11001010300,11001010300,"Census Tract 103, District of Columbia, District of Columbia",57024,11788
1400000US11001010400,11001010400,"Census Tract 104, District of Columbia, District of Columbia",40078,15480
1400000US11001010500,11001010500,"Census Tract 105, District of Columbia, District of Columbia",71875,17854
1400000US11001010600,11001010600,"Census Tract 106, District of Columbia, District of Columbia",90027,11971
1400000US11001010700,11001010700,"Census Tract 107, District of Columbia, District of Columbia",65333,20236
1400000US11001010800,11001010800,"Census Tract 108, District of Columbia, District of Columbia",24470,6220
1400000US11001010900,11001010900,"Census Tract 109, District of Columbia, District of Columbia",26445,4116
1400000US11001011000,11001011000,"Census Tract 110, District of Columbia, District of Columbia",82275,11613
1400000US11001011100,11001011100,"Census Tract 111, District of Columbia, District of Columbia",55108,9380
