GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
0500000US11001,11001,"District of Columbia, District of Columbia",70848,843
1400000US11001000100,11001000100,"Census Tract 1, District of Columbia, District of Columbia",175048,30804
1400000US11001000201,11001000201,"Census Tract 2.01, District of Columbia, District of Columbia",-,**
1400000US11001000202,11001000202,"Census Tract 2.02, District of Columbia, District of Columbia",153705,15708
1400000US11001000300,11001000300,"Census Tract 3, District of Columbia, District of Columbia",125078,15785
1400000US11001000400,11001000400,"Census Tract 4, District of Columbia, District of Columbia",178750,67039
1400000US11001000501,11001000501,"Census Tract 5.01, District of Columbia, District of Columbia",107448,6566
1400000US11001000502,11001000502,"Census Tract 5.02, District of Columbia, District of Columbia",114152,12619
1400000US11001000600,11001000600,"Census Tract 6, District of Columbia, District of Columbia",158625,52588
1400000US11001000701,11001000701,"Census Tract 7.01, District of Columbia, District of Columbia",80223,11432
1400000US11001000702,11001000702,"Census Tract 7.02, District of Columbia, District of Columbia",72346,13388
1400000US11001000801,11001000801,"Census Tract 8.01, District of Columbia, District of Columbia",121265,32594
1400000US11001000802,11001000802,"Census Tract 8.02, District of Columbia, District of Columbia",91307,14112
1400000US11001000901,11001000901,"Census Tract 9.01, District of Columbia, District of Columbia",231542,34751
1400000US11001000902,11001000902,"Census Tract 9.02, District of Columbia, District of Columbia",200893,17641
1400000US11001001001,11001001001,"Census Tract 10.01, District of Columbia, District of Columbia",153992,8829
1400000US11001001002,11001001002,"Census Tract 10.02, District of Columbia, District of Columbia",82847,22103
1400000US11001001100,11001001100,"Census Tract 11, District of Columbia, District of Columbia",149265,31884
1400000US11001001200,11001001200,"Census Tract 12, District of Columbia, District of Columbia",106667,19738
1400000US11001001301,11001001301,"Census Tract 13.01, District of Columbia, District of Columbia",128395,8058
1400000US11001001302,11001001302,"Census Tract 13.02, District of Columbia, District of Columbia",98143,15195
1400000US11001001401,11001001401,"Census Tract 14.01, District of Columbia, District of Columbia",112700,23365
1400000US11001001402,11001001402,"Census Tract 14.02, District of Columbia, District of Columbia",118693,37830
1400000US11001001500,11001001500,"Census Tract 15, District of Columbia, District of Columbia",200031,20140
1400000US11001001600,11001001600,"Census Tract 16, District of Columbia, District of Columbia",143194,24824
1400000US11001001702,11001001702,"Census Tract 17.02, District of Columbia, District of Columbia",92543,16489
1400000US11001001803,11001001803,"Census Tract 18.03, District of Columbia, District of Columbia",52411,6117
1400000US11001001804,11001001804,"Census Tract 18.04, District of Columbia, District of Columbia",46283,9860
1400000US11001001901,11001001901,"Census Tract 19.01, District of Columbia, District of Columbia",74344,10622
1400000US11001001902,11001001902,"Census Tract 19.02, District of Columbia, District of Columbia",88291,10797
1400000US11001002001,11001002001,"Census Tract 20.01, District of Columbia, District of Columbia",63385,10940
1400000US11001002002,11001002002,"Census Tract 20.02, District of Columbia, District of Columbia",80703,13198
1400000US11001002101,11001002101,"Census Tract 21.01, District of Columbia, District of Columbia",57565,8335
1400000US11001002102,11001002102,"Census Tract 21.02, District of Columbia, District of Columbia",65387,8965
1400000US11001002201,11001002201,"Census Tract 22.01, District of Columbia, District of Columbia",65638,9989
1400000US11001002202,11001002202,"Census Tract 22.02, District of Columbia, District of Columbia",48274,13934
1400000US11001002301,11001002301,"Census Tract 23.01, District of Columbia, District of Columbia",97500,25191
1400000US11001002302,11001002302,"Census Tract 23.02, District of Columbia, District of Columbia",59630,14245
1400000US11001002400,11001002400,"Census Tract 24, District of Columbia, District of Columbia",96667,9722
1400000US11001002501,11001002501,"Census Tract 25.01, District of Columbia, District of Columbia",35370,23111
1400000US11001002502,11001002502,"Census Tract 25.02, District of Columbia, District of Columbia",64616,6544
1400000US11001002600,11001002600,"Census Tract 26, District of Columbia, District of Columbia",135164,21091
1400000US11001002701,11001002701,"Census Tract 27.01, District of Columbia, District of Columbia",56630,15551
1400000US11001002702,11001002702,"Census Tract 27.02, District of Columbia, District of Columbia",87043,12306
1400000US11001002801,11001002801,"Census Tract 28.01, District of Columbia, District of Columbia",48641,6077
1400000US11001002802,11001002802,"Census Tract 28.02, District of Columbia, District of Columbia",49338,8412
1400000US11001002900,11001002900,"Census Tract 29, District of Columbia, District of Columbia",92900,16205
1400000US11001003000,11001003000,"Census Tract 30, District of Columbia, District of Columbia",70238,21049
1400000US11001003100,11001003100,"Census Tract 31, District of Columbia, District of Columbia",81356,13121
1400000US11001003200,11001003200,"Census Tract 32, District of Columbia, District of Columbia",80848,18394
1400000US11001003301,11001003301,"Census Tract 33.01, District of Columbia, District of Columbia",105132,22739
1400000US11001003302,11001003302,"Census Tract 33.02, District of Columbia, District of Columbia",112500,26904
1400000US11001003400,11001003400,"Census Tract 34, District of Columbia, District of Columbia",80500,21951
1400000US11001003500,11001003500,"Census Tract 35, District of Columbia, District of Columbia",69190,19123
1400000US11001003600,11001003600,"Census Tract 36, District of Columbia, District of Columbia",91250,13362
1400000US11001003700,11001003700,"Census Tract 37, District of Columbia, District of Columbia",73232,23725
1400000US11001003800,11001003800,"Census Tract 38, District of Columbia, District of Columbia",92885,9768
1400000US11001003900,11001003900,"Census Tract 39, District of Columbia, District of Columbia",89662,6982
1400000US11001004001,11001004001,"Census Tract 40.01, District of Columbia, District of Columbia",104775,23158
1400000US11001004002,11001004002,"Census Tract 40.02, District of Columbia, District of Columbia",90886,6565
1400000US11001004100,11001004100,"Census Tract 41, District of Columbia, District of Columbia",123456,16979
1400000US11001004201,11001004201,"Census Tract 42.01, District of Columbia, District of Columbia",96650,12501
1400000US11001004202,11001004202,"Census Tract 42.02, District of Columbia, District of Columbia",102308,15523
1400000US11001004300,11001004300,"Census Tract 43, District of Columbia, District of Columbia",80000,11218
1400000US11001004400,11001004400,"Census Tract 44, District of Columbia, District of Columbia",148766,15550
1400000US11001004600,11001004600,"Census Tract 46, District of Columbia, District of Columbia",64235,31392
1400000US11001004701,11001004701,"Census Tract 47.01, District of Columbia, District of Columbia",24767,4423
1400000US11001004702,11001004702,"Census Tract 47.02, District of Columbia, District of Columbia",94688,14725
1400000US11001004801,11001004801,"Census Tract 48.01, District of Columbia, District of Columbia",103273,7835
1400000US11001004802,11001004802,"Census Tract 48.02, District of Columbia, District of Columbia",63015,24508
1400000US11001004901,11001004901,"Census Tract 49.01, District of Columbia, District of Columbia",67104,12620
1400000US11001004902,11001004902,"Census Tract 49.02, District of Columbia, District of Columbia",81591,35121
1400000US11001005001,11001005001,"Census Tract 50.01, District of Columbia, District of Columbia",133686,16235
1400000US11001005002,11001005002,"Census Tract 50.02, District of Columbia, District of Columbia",81128,7714
1400000US11001005201,11001005201,"Census Tract 52.01, District of Columbia, District of Columbia",102420,17722
1400000US11001005301,11001005301,"Census Tract 53.01, District of Columbia, District of Columbia",89097,21788
1400000US11001005500,11001005500,"Census Tract 55, District of Columbia, District of Columbia",97558,30933
1400000US11001005600,11001005600,"Census Tract 56, District of Columbia, District of Columbia",71250,21241
1400000US11001005800,11001005800,"Census Tract 58, District of Columbia, District of Columbia",124306,17771
1400000US11001005900,11001005900,"Census Tract 59, District of Columbia, District of Columbia",99330,13327
1400000US11001006202,11001006202,"Census Tract 62.02, District of Columbia, District of Columbia",-,**
1400000US11001006400,11001006400,"Census Tract 64, District of Columbia, District of Columbia",22969,5994
1400000US11001006500,11001006500,"Census Tract 65, District of Columbia, District of Columbia",128750,28752
1400000US11001006600,11001006600,"Census Tract 66, District of Columbia, District of Columbia",143485,14771
1400000US11001006700,11001006700,"Census Tract 67, District of Columbia, District of Columbia",136797,10998
1400000US11001006801,11001006801,"Census Tract 68.01, District of Columbia, District of Columbia",75742,7463
1400000US11001006802,11001006802,"Census Tract 68.02, District of Columbia, District of Columbia",113250,16694
1400000US11001006804,11001006804,"Census Tract 68.04, District of Columbia, District of Columbia",-,**
1400000US11001006900,11001006900,"Census Tract 69, District of Columbia, District of Columbia",108571,21055
1400000US11001007000,11001007000,"Census Tract 70, District of Columbia, District of Columbia",112096,8061
1400000US11001007100,11001007100,"Census Tract 71, District of Columbia, District of Columbia",72904,19752
1400000US11001007200,11001007200,"Census Tract 72, District of Columbia, District of Columbia",106897,14030
1400000US11001007301,11001007301,"Census Tract 73.01, District of Columbia, District of Columbia",75625,11531
1400000US11001007304,11001007304,"Census Tract 73.04, District of Columbia, District of Columbia",29542,10359
1400000US11001007401,11001007401,"Census Tract 74.01, District of Columbia, District of Columbia",15205,2340
1400000US11001007403,11001007403,"Census Tract 74.03, District of Columbia, District of Columbia",31399,2491
1400000US11001007404,11001007404,"Census Tract 74.04, District of Columbia, District of Columbia",28569,5543
1400000US11001007406,11001007406,"Census Tract 74.06, District of Columbia, District of Columbia",37344,13074
1400000US11001007407,11001007407,"Census Tract 74.07, District of Columbia, District of Columbia",34531,9782
1400000US11001007408,11001007408,"Census Tract 74.08, District of Columbia, District of Columbia",22353,4557
1400000US11001007409,11001007409,"Census Tract 74.09, District of Columbia, District of Columbia",33990,6320
1400000US11001007502,11001007502,"Census Tract 75.02, District of Columbia, District of Columbia",26422,9110
1400000US11001007503,11001007503,"Census Tract 75.03, District of Columbia, District of Columbia",26125,8083
1400000US11001007504,11001007504,"Census Tract 75.04, District of Columbia, District of Columbia",17159,2948
1400000US11001007601,11001007601,"Census Tract 76.01, District of Columbia, District of Columbia",35438,7428
1400000US11001007603,11001007603,"Census Tract 76.03, District of Columbia, District of Columbia",48847,9463
1400000US11001007604,11001007604,"Census Tract 76.04, District of Columbia, District of Columbia",53462,8932
1400000US11001007605,11001007605,"Census Tract 76.05, District of Columbia, District of Columbia",34761,9132
1400000US11001007703,11001007703,"Census Tract 77.03, District of Columbia, District of Columbia",25588,4910
